hltTimingSummary output at a glance: 

Input file: outputTiming.root
Output root file name: outfile.root

NOTE: Results obtained using CPU time.
      Due to resolution effects in CPUTimer, event histograms may not reflect reality.
      Please be aware of these limitations when drawing your conclusions.

Skipping 65 event(s) due to module initialization:
Events 0, 1, 15, 77, 26, 24, 79, 5, 20, 7516, 271, 186, 258, 530, 56, 1773, 2049, 4609, 1999, 76, 350, 952, 97583, 379, 804, 24881, 39009, 15592, 7970, 99410, 8614, 4317, 17, 164, 395, 19, 2203, 13822, 2379, 3761, 16184, 38, 118, 222, 512, 158, 108, 5473, 207, 751, 4069, 6102, 15685, 28967, 3990, 77063, 1621, 123, 4843, 692, 300, 561, 25, 800, 3887

Not including any information from the following excluded modules: 
hltGetRaw
hltGetConditions
hltBoolFalse
hltBoolTrue

Average path times are as follows (all in msec): 
   6.3158 (path HLT_MET400_v2)
   7.7400 (path HLT_R014_MR150_v10)
   7.7393 (path HLT_R020_MR150_v10)
   7.7384 (path HLT_R020_MR550_v10)
   7.7388 (path HLT_R025_MR150_v10)
   7.7390 (path HLT_R025_MR450_v10)
   7.7384 (path HLT_R033_MR350_v10)
   7.7387 (path HLT_R038_MR250_v10)
   7.7390 (path HLT_R038_MR300_v2)
   7.7381 (path HLT_RMR65_v3)
  15.3827 (path HLT_R014_MR200_CentralJet40_BTagIP_v4)
   9.2389 (path HLT_R014_MR400_CentralJet40_BTagIP_v4)
   8.7838 (path HLT_R014_MR450_CentralJet40_BTagIP_v4)
   9.2974 (path HLT_R020_MR300_CentralJet40_BTagIP_v4)
   8.6230 (path HLT_R020_MR350_CentralJet40_BTagIP_v4)
   9.0464 (path HLT_R030_MR200_CentralJet40_BTagIP_v4)
   8.2571 (path HLT_R030_MR250_CentralJet40_BTagIP_v4)
   3.9174 (path HLT_L1SingleMuOpen_v4)
   3.9174 (path HLT_L1SingleMuOpen_DT_v4)
   3.9148 (path HLT_L1SingleMu10_v4)
   3.9141 (path HLT_L1SingleMu20_v4)
   3.9129 (path HLT_L1DoubleMu0_v4)
   3.9148 (path HLT_L2Mu10_v6)
   3.9134 (path HLT_L2Mu20_v6)
   3.9142 (path HLT_L2Mu60_1Hit_MET40_v6)
   3.9142 (path HLT_L2Mu60_1Hit_MET60_v6)
   3.9129 (path HLT_L2DoubleMu0_v7)
   3.9132 (path HLT_Mu5_v14)
   3.9132 (path HLT_Mu8_v12)
   4.7516 (path HLT_Mu12_v12)
   3.9148 (path HLT_Mu15_v13)
   3.9134 (path HLT_Mu20_v12)
   3.9163 (path HLT_Mu24_v12)
   3.9134 (path HLT_Mu30_v12)
   3.9163 (path HLT_Mu40_v10)
   3.9142 (path HLT_Mu40_eta2p1_v5)
   3.9142 (path HLT_Mu50_eta2p1_v2)
   3.9142 (path HLT_Mu60_eta2p1_v5)
   3.9142 (path HLT_Mu100_eta2p1_v5)
   3.9142 (path HLT_Mu200_eta2p1_v2)
   3.9148 (path HLT_IsoMu15_v18)
   3.9147 (path HLT_IsoMu15_eta2p1_v5)
   3.9134 (path HLT_IsoMu20_v13)
   3.9163 (path HLT_IsoMu24_v13)
   3.9152 (path HLT_IsoMu24_eta2p1_v7)
   3.9152 (path HLT_IsoMu30_eta2p1_v7)
   3.9142 (path HLT_IsoMu34_eta2p1_v5)
   3.9142 (path HLT_IsoMu40_eta2p1_v2)
   3.9146 (path HLT_L2DoubleMu23_NoVertex_v8)
   3.9146 (path HLT_L2DoubleMu30_NoVertex_v4)
   3.9146 (path HLT_L2DoubleMu30_NoVertex_dPhi2p5_v1)
   3.9129 (path HLT_DoubleMu3_v14)
   3.9129 (path HLT_DoubleMu5_v5)
   4.2427 (path HLT_DoubleMu7_v12)
   3.9154 (path HLT_DoubleMu45_v10)
   3.9134 (path HLT_DoubleMu7_Acoplanarity03_v4)
   4.2524 (path HLT_DoubleMu4_Jpsi_Displaced_v5)
   4.2523 (path HLT_DoubleMu5_Jpsi_Displaced_v5)
   4.2523 (path HLT_DoubleMu4_Dimuon4_Bs_Barrel_v5)
   4.2523 (path HLT_DoubleMu4_Dimuon6_Bs_v5)
   4.2523 (path HLT_DoubleMu4p5_LowMass_Displaced_v5)
   4.2523 (path HLT_DoubleMu5_LowMass_Displaced_v5)
   4.2524 (path HLT_Dimuon0_Omega_Phi_v4)
   4.2523 (path HLT_Dimuon0_Jpsi_v10)
   4.2523 (path HLT_Dimuon0_Jpsi_NoVertexing_v7)
   4.2523 (path HLT_Dimuon0_Upsilon_v10)
   4.0307 (path HLT_Dimuon6_LowMass_v5)
   4.2523 (path HLT_Dimuon7_Upsilon_Barrel_v5)
   4.2523 (path HLT_Dimuon9_Upsilon_Barrel_v5)
   4.2523 (path HLT_Dimuon9_PsiPrime_v5)
   4.2523 (path HLT_Dimuon10_Jpsi_Barrel_v10)
   4.2523 (path HLT_Dimuon11_PsiPrime_v5)
   4.2523 (path HLT_Dimuon13_Jpsi_Barrel_v5)
   3.9149 (path HLT_Dimuon0_Jpsi_Muon_v11)
   3.9149 (path HLT_Dimuon0_Upsilon_Muon_v11)
   3.9149 (path HLT_TripleMu0_TauTo3Mu_v1)
   3.9146 (path HLT_Mu13_Mu8_v11)
   3.9146 (path HLT_Mu17_Mu8_v11)
   3.9129 (path HLT_Mu17_TkMu8_v4)
   3.9149 (path HLT_TripleMu5_v13)
   3.9149 (path HLT_DoubleMu5_IsoMu5_v12)
   3.9118 (path HLT_Mu5_TkMu0_OST_Jpsi_Tight_B5Q7_v13)
   4.1904 (path HLT_Mu5_L2Mu2_Jpsi_v13)
   3.9132 (path HLT_Mu5_Track2_Jpsi_v13)
   6.0594 (path HLT_Mu7_Track7_Jpsi_v14)
