 Lambda=14000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.6601D-03  0.1609D-05
  2.00  3.00  0.3537D-03  0.1286D-05
  3.00  4.00  0.2289D-03  0.1084D-05
  4.00  5.00  0.1631D-03  0.9551D-06
  5.00  6.00  0.1242D-03  0.8620D-06
  6.00  7.00  0.9910D-04  0.8067D-06
  7.00  8.00  0.8048D-04  0.7661D-06
  8.00  9.00  0.6765D-04  0.7461D-06
  9.00 10.00  0.5768D-04  0.7134D-06
 10.00 12.00  0.9448D-04  0.9899D-06
 12.00 14.00  0.7384D-04  0.9335D-06
 14.00 16.00  0.5986D-04  0.9070D-06
