 Lambda= 6000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3097D-02  0.7193D-05
  2.00  3.00  0.1585D-02  0.5466D-05
  3.00  4.00  0.9790D-03  0.4200D-05
  4.00  5.00  0.6669D-03  0.3312D-05
  5.00  6.00  0.4879D-03  0.2804D-05
  6.00  7.00  0.3728D-03  0.2461D-05
  7.00  8.00  0.2950D-03  0.2206D-05
  8.00  9.00  0.2412D-03  0.1964D-05
  9.00 10.00  0.1989D-03  0.1830D-05
 10.00 12.00  0.3133D-03  0.2395D-05
 12.00 14.00  0.2359D-03  0.2182D-05
 14.00 16.00  0.1831D-03  0.1950D-05
