 Lambda= 8000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.5695D-03  0.1487D-05
  2.00  3.00  0.2724D-03  0.1042D-05
  3.00  4.00  0.1549D-03  0.6728D-06
  4.00  5.00  0.9694D-04  0.4640D-06
  5.00  6.00  0.6508D-04  0.3289D-06
  6.00  7.00  0.4574D-04  0.2369D-06
  7.00  8.00  0.3317D-04  0.1826D-06
  8.00  9.00  0.2469D-04  0.1484D-06
  9.00 10.00  0.1899D-04  0.1241D-06
 10.00 12.00  0.2596D-04  0.1539D-06
 12.00 14.00  0.1614D-04  0.1406D-06
 14.00 16.00  0.1065D-04  0.1588D-06
