 Lambda=11000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1794D-03  0.8369D-06
  2.00  3.00  0.5691D-04  0.4607D-06
  3.00  4.00  0.1015D-04  0.2457D-06
  4.00  5.00 -0.9649D-05  0.2165D-06
  5.00  6.00 -0.1851D-04  0.2771D-06
  6.00  7.00 -0.2224D-04  0.3453D-06
  7.00  8.00 -0.2292D-04  0.4055D-06
  8.00  9.00 -0.2382D-04  0.4529D-06
  9.00 10.00 -0.2295D-04  0.4947D-06
 10.00 12.00 -0.4360D-04  0.7815D-06
 12.00 14.00 -0.3946D-04  0.8562D-06
 14.00 16.00 -0.3746D-04  0.8935D-06
