 Lambda=15000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.9409D-04  0.1467D-06
  2.00  3.00 -0.6534D-04  0.1943D-06
  3.00  4.00 -0.5244D-04  0.2429D-06
  4.00  5.00 -0.4370D-04  0.2751D-06
  5.00  6.00 -0.3749D-04  0.2988D-06
  6.00  7.00 -0.3251D-04  0.3226D-06
  7.00  8.00 -0.2823D-04  0.3333D-06
  8.00  9.00 -0.2559D-04  0.3493D-06
  9.00 10.00 -0.2286D-04  0.3599D-06
 10.00 12.00 -0.4005D-04  0.5368D-06
 12.00 14.00 -0.3273D-04  0.5470D-06
 14.00 16.00 -0.2824D-04  0.5639D-06
