#
#  CIJET_MassBin-3600-4200_CT10nlo_19000_AA-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  19000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      5.77943e-04      3.94115e-07        0.068      40
   2.0        3.0      3.12035e-04      4.15694e-07        0.133      43
   3.0        4.0      2.01919e-04      4.16479e-07        0.206      43
   4.0        5.0      1.43458e-04      2.15146e-07        0.150      12
   5.0        6.0      1.07842e-04      1.78164e-07        0.165      12
   6.0        7.0      8.44077e-05      2.47223e-07        0.293      13
   7.0        8.0      6.79492e-05      3.22631e-07        0.475      13
   8.0        9.0      5.57469e-05      2.58888e-07        0.464      13
   9.0       10.0      4.65377e-05      3.91560e-07        0.841      13
  10.0       12.0      3.65673e-05      1.77313e-07        0.485      13
  12.0       14.0      2.70146e-05      1.33782e-07        0.495      13
  14.0       16.0      2.07208e-05      1.60414e-07        0.774      13
