 Lambda= 8000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1655D-02  0.5096D-05
  2.00  3.00  0.7699D-03  0.3447D-05
  3.00  4.00  0.4195D-03  0.2146D-05
  4.00  5.00  0.2500D-03  0.1407D-05
  5.00  6.00  0.1562D-03  0.9577D-06
  6.00  7.00  0.1026D-03  0.6988D-06
  7.00  8.00  0.6846D-04  0.5619D-06
  8.00  9.00  0.4545D-04  0.4871D-06
  9.00 10.00  0.2942D-04  0.4691D-06
 10.00 12.00  0.3016D-04  0.7618D-06
 12.00 14.00  0.7080D-05  0.9484D-06
 14.00 16.00 -0.4718D-05  0.1125D-05
