#
#  CIJET_MassBin-4200-8000_cteq66_5000_VV+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.25048e-02      1.32021e-05        0.106      40
   2.0        3.0      6.51630e-03      6.77367e-06        0.104      43
   3.0        4.0      4.05526e-03      5.97253e-06        0.147      43
   4.0        5.0      2.78137e-03      3.81491e-06        0.137       8
   5.0        6.0      2.02417e-03      4.42787e-06        0.219      12
   6.0        7.0      1.54592e-03      2.72218e-06        0.176      13
   7.0        8.0      1.21800e-03      1.15470e-06        0.095      13
   8.0        9.0      9.84162e-04      2.12702e-06        0.216      13
   9.0       10.0      8.12567e-04      2.59066e-06        0.319      12
  10.0       12.0      6.32615e-04      1.51594e-06        0.240      13
  12.0       14.0      4.70304e-04      8.26504e-07        0.176      13
  14.0       16.0      3.64488e-04      1.14948e-06        0.315      13
