#
#  CIJET_MassBin-3000-3600_cteq6ll_15000_V-A+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.14769e-04      1.25000e-07        0.020      16
   2.0        3.0      3.47106e-04      1.45297e-07        0.042      36
   3.0        4.0      2.31430e-04      1.05864e-07        0.046      43
   4.0        5.0      1.66992e-04      5.14929e-08        0.031      12
   5.0        6.0      1.26677e-04      7.25011e-08        0.057      13
   6.0        7.0      9.96462e-05      3.20256e-08        0.032      13
   7.0        8.0      8.05631e-05      6.65062e-08        0.083      13
   8.0        9.0      6.65815e-05      6.17584e-08        0.093      13
   9.0       10.0      5.59846e-05      6.57794e-08        0.117      13
  10.0       12.0      4.45715e-05      2.30384e-08        0.052      13
  12.0       14.0      3.39173e-05      2.57888e-08        0.076      13
  14.0       16.0      2.67381e-05      2.59437e-08        0.097      13
