 Lambda=10000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2801D-03  0.3998D-07
  2.00  3.00  0.1222D-03  0.2465D-07
  3.00  4.00  0.5867D-04  0.1070D-07
  4.00  5.00  0.2796D-04  0.5814D-08
  5.00  6.00  0.1130D-04  0.3736D-08
  6.00  7.00  0.1557D-05  0.3316D-08
  7.00  8.00 -0.4437D-05  0.3063D-08
  8.00  9.00 -0.8252D-05  0.2763D-08
  9.00 10.00 -0.1073D-04  0.3675D-08
 10.00 12.00 -0.2578D-04  0.5842D-08
 12.00 14.00 -0.2866D-04  0.6342D-08
 14.00 16.00 -0.2967D-04  0.5561D-08
