 Lambda=14000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.9692D-03  0.1406D-06
  2.00  3.00  0.5434D-03  0.7977D-07
  3.00  4.00  0.3711D-03  0.6973D-07
  4.00  5.00  0.2798D-03  0.5403D-07
  5.00  6.00  0.2239D-03  0.2666D-07
  6.00  7.00  0.1865D-03  0.2636D-07
  7.00  8.00  0.1600D-03  0.3270D-07
  8.00  9.00  0.1401D-03  0.3151D-07
  9.00 10.00  0.1247D-03  0.2105D-07
 10.00 12.00  0.2149D-03  0.3391D-07
 12.00 14.00  0.1814D-03  0.4123D-07
 14.00 16.00  0.1573D-03  0.2722D-07
