 Lambda=10000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.7444D-03  0.9577D-07
  2.00  3.00  0.4025D-03  0.5808D-07
  3.00  4.00  0.2644D-03  0.5662D-07
  4.00  5.00  0.1924D-03  0.2933D-07
  5.00  6.00  0.1494D-03  0.3290D-07
  6.00  7.00  0.1212D-03  0.2379D-07
  7.00  8.00  0.1015D-03  0.2461D-07
  8.00  9.00  0.8708D-04  0.1568D-07
  9.00 10.00  0.7607D-04  0.1650D-07
 10.00 12.00  0.1282D-03  0.3135D-07
 12.00 14.00  0.1054D-03  0.3236D-07
 14.00 16.00  0.8954D-04  0.2144D-07
