 Lambda=14000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.7072D-04  0.1475D-06
  2.00  3.00 -0.5627D-04  0.1671D-06
  3.00  4.00 -0.4876D-04  0.2296D-06
  4.00  5.00 -0.4282D-04  0.2752D-06
  5.00  6.00 -0.3772D-04  0.3115D-06
  6.00  7.00 -0.3356D-04  0.3422D-06
  7.00  8.00 -0.2958D-04  0.3597D-06
  8.00  9.00 -0.2677D-04  0.3774D-06
  9.00 10.00 -0.2413D-04  0.3937D-06
 10.00 12.00 -0.4239D-04  0.5921D-06
 12.00 14.00 -0.3557D-04  0.6110D-06
 14.00 16.00 -0.3066D-04  0.6337D-06
