 Lambda= 8000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1083D-02  0.2490D-05
  2.00  3.00  0.5594D-03  0.1883D-05
  3.00  4.00  0.3488D-03  0.1473D-05
  4.00  5.00  0.2406D-03  0.1211D-05
  5.00  6.00  0.1774D-03  0.1031D-05
  6.00  7.00  0.1366D-03  0.9118D-06
  7.00  8.00  0.1095D-03  0.8526D-06
  8.00  9.00  0.8933D-04  0.7782D-06
  9.00 10.00  0.7443D-04  0.7286D-06
 10.00 12.00  0.1185D-03  0.9718D-06
 12.00 14.00  0.8904D-04  0.8759D-06
 14.00 16.00  0.7025D-04  0.8107D-06
