#
#  CIJET_MassBin-3000-3600_cteq6ll_11000_RR+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  11000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.24725e-04      1.02989e-06        0.826      16
   2.0        3.0     -2.71425e-04      9.65512e-07        0.356      36
   3.0        4.0     -4.27521e-04      8.87897e-07        0.208      43
   4.0        5.0     -4.80667e-04      3.22866e-07        0.067      12
   5.0        6.0     -4.91969e-04      4.30861e-07        0.088      13
   6.0        7.0     -4.85392e-04      8.93925e-07        0.184      13
   7.0        8.0     -4.71100e-04      5.58271e-07        0.119      13
   8.0        9.0     -4.54362e-04      4.57417e-07        0.101      13
   9.0       10.0     -4.36377e-04      5.71772e-07        0.131      13
  10.0       12.0     -4.10265e-04      4.78446e-07        0.117      13
  12.0       14.0     -3.78281e-04      3.83807e-07        0.101      13
  14.0       16.0     -3.50215e-04      4.82780e-07        0.138      13
