 Lambda=12000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1147D-03  0.2249D-07
  2.00  3.00 -0.6351D-05  0.1894D-07
  3.00  4.00 -0.5449D-04  0.1235D-07
  4.00  5.00 -0.7393D-04  0.1295D-07
  5.00  6.00 -0.8147D-04  0.1219D-07
  6.00  7.00 -0.8363D-04  0.1609D-07
  7.00  8.00 -0.8324D-04  0.1729D-07
  8.00  9.00 -0.8160D-04  0.2105D-07
  9.00 10.00 -0.7933D-04  0.2170D-07
 10.00 12.00 -0.1512D-03  0.3078D-07
 12.00 14.00 -0.1412D-03  0.3543D-07
 14.00 16.00 -0.1320D-03  0.3115D-07
