 Lambda= 5000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2159D-01  0.5800D-04
  2.00  3.00  0.1106D-01  0.4280D-04
  3.00  4.00  0.6828D-02  0.3225D-04
  4.00  5.00  0.4658D-02  0.2629D-04
  5.00  6.00  0.3416D-02  0.2211D-04
  6.00  7.00  0.2608D-02  0.1936D-04
  7.00  8.00  0.2059D-02  0.1732D-04
  8.00  9.00  0.1679D-02  0.1582D-04
  9.00 10.00  0.1397D-02  0.1461D-04
 10.00 12.00  0.2198D-02  0.1920D-04
 12.00 14.00  0.1643D-02  0.1688D-04
 14.00 16.00  0.1296D-02  0.1522D-04
