#
#  CIJET_MassBin-4200-8000_cteq66_17000_VV-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  17000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.08250e-04      1.72463e-07        0.083      40
   2.0        3.0      1.11972e-04      1.14071e-07        0.102      43
   3.0        4.0      7.22647e-05      9.24108e-08        0.128      43
   4.0        5.0      5.13038e-05      4.98390e-08        0.097       8
   5.0        6.0      3.85225e-05      7.54532e-08        0.196      12
   6.0        7.0      3.01577e-05      7.14322e-08        0.237      13
   7.0        8.0      2.42977e-05      7.27042e-08        0.299      13
   8.0        9.0      2.00077e-05      5.58501e-08        0.279      13
   9.0       10.0      1.67117e-05      4.54939e-08        0.272      12
  10.0       12.0      1.32681e-05      4.21079e-08        0.317      13
  12.0       14.0      9.94808e-06      3.61443e-08        0.363      13
  14.0       16.0      7.67038e-06      4.84106e-08        0.631      13
