#
#  CIJET_MassBin-3000-3600_CT10nlo_16000_VV-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  16000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.87425e-03      3.10913e-06        0.080      16
   2.0        3.0      2.09839e-03      2.64335e-06        0.126      36
   3.0        4.0      1.36637e-03      2.51683e-06        0.184      43
   4.0        5.0      9.78392e-04      2.06109e-06        0.211      12
   5.0        6.0      7.41708e-04      1.46484e-06        0.197      13
   6.0        7.0      5.84862e-04      2.30273e-06        0.394      13
   7.0        8.0      4.74477e-04      1.99673e-06        0.421      13
   8.0        9.0      3.94300e-04      1.96129e-06        0.497      13
   9.0       10.0      3.34108e-04      1.51628e-06        0.454      13
  10.0       12.0      2.66092e-04      1.25430e-06        0.471      13
  12.0       14.0      2.02892e-04      1.13484e-06        0.559      13
  14.0       16.0      1.59892e-04      1.49092e-06        0.932      13
