 Lambda= 6000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3308D-02  0.4420D-06
  2.00  3.00  0.1635D-02  0.2619D-06
  3.00  4.00  0.9605D-03  0.1819D-06
  4.00  5.00  0.6218D-03  0.1328D-06
  5.00  6.00  0.4282D-03  0.7708D-07
  6.00  7.00  0.3074D-03  0.6025D-07
  7.00  8.00  0.2273D-03  0.4607D-07
  8.00  9.00  0.1717D-03  0.5055D-07
  9.00 10.00  0.1316D-03  0.3521D-07
 10.00 12.00  0.1812D-03  0.4483D-07
 12.00 14.00  0.1100D-03  0.2502D-07
 14.00 16.00  0.6537D-04  0.1482D-07
