 Lambda=12000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1049D-02  0.2633D-05
  2.00  3.00  0.5578D-03  0.2083D-05
  3.00  4.00  0.3580D-03  0.1680D-05
  4.00  5.00  0.2539D-03  0.1458D-05
  5.00  6.00  0.1917D-03  0.1317D-05
  6.00  7.00  0.1508D-03  0.1220D-05
  7.00  8.00  0.1227D-03  0.1145D-05
  8.00  9.00  0.1017D-03  0.1090D-05
  9.00 10.00  0.8697D-04  0.1059D-05
 10.00 12.00  0.1412D-03  0.1432D-05
 12.00 14.00  0.1098D-03  0.1366D-05
 14.00 16.00  0.8942D-04  0.1318D-05
