 Lambda=15000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.7942D-03  0.1052D-06
  2.00  3.00  0.4478D-03  0.6240D-07
  3.00  4.00  0.3075D-03  0.5037D-07
  4.00  5.00  0.2330D-03  0.3889D-07
  5.00  6.00  0.1873D-03  0.3164D-07
  6.00  7.00  0.1566D-03  0.2977D-07
  7.00  8.00  0.1346D-03  0.2786D-07
  8.00  9.00  0.1182D-03  0.2426D-07
  9.00 10.00  0.1054D-03  0.1773D-07
 10.00 12.00  0.1822D-03  0.2480D-07
 12.00 14.00  0.1543D-03  0.2930D-07
 14.00 16.00  0.1342D-03  0.2389D-07
