 Lambda=15000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.5489D-05  0.2865D-07
  2.00  3.00 -0.6682D-05  0.2435D-07
  3.00  4.00 -0.6833D-05  0.3028D-07
  4.00  5.00 -0.6449D-05  0.3968D-07
  5.00  6.00 -0.5924D-05  0.4736D-07
  6.00  7.00 -0.5380D-05  0.5199D-07
  7.00  8.00 -0.4854D-05  0.5726D-07
  8.00  9.00 -0.4383D-05  0.5997D-07
  9.00 10.00 -0.3947D-05  0.6294D-07
 10.00 12.00 -0.7022D-05  0.9623D-07
 12.00 14.00 -0.5924D-05  0.1011D-06
 14.00 16.00 -0.4943D-05  0.1051D-06
