#
#  CIJET_MassBin-3000-3600_CT10nlo_6000_AA+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   6000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      5.96050e-02      5.07280e-05        0.085      16
   2.0        3.0      3.05761e-02      4.67380e-05        0.153      36
   3.0        4.0      1.86433e-02      3.97445e-05        0.213      43
   4.0        5.0      1.24967e-02      2.64002e-05        0.211      12
   5.0        6.0      8.90762e-03      2.40677e-05        0.270      13
   6.0        7.0      6.62831e-03      2.29034e-05        0.346      13
   7.0        8.0      5.11900e-03      1.54596e-05        0.302      13
   8.0        9.0      4.04100e-03      1.74308e-05        0.431      13
   9.0       10.0      3.25962e-03      1.47000e-05        0.451      13
  10.0       12.0      2.47642e-03      1.01404e-05        0.409      13
  12.0       14.0      1.77381e-03      1.01233e-05        0.571      13
  14.0       16.0      1.32192e-03      8.48736e-06        0.642      13
