 Lambda=14000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.7686D-04  0.1369D-07
  2.00  3.00 -0.8706D-04  0.1585D-07
  3.00  4.00 -0.9067D-04  0.1525D-07
  4.00  5.00 -0.8880D-04  0.1690D-07
  5.00  6.00 -0.8495D-04  0.1325D-07
  6.00  7.00 -0.8057D-04  0.2211D-07
  7.00  8.00 -0.7627D-04  0.1619D-07
  8.00  9.00 -0.7213D-04  0.1006D-07
  9.00 10.00 -0.6846D-04  0.1254D-07
 10.00 12.00 -0.1270D-03  0.2089D-07
 12.00 14.00 -0.1156D-03  0.3233D-07
 14.00 16.00 -0.1062D-03  0.2779D-07
