 Lambda=14000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4784D-05  0.5430D-07
  2.00  3.00 -0.2088D-05  0.2988D-07
  3.00  4.00 -0.4470D-05  0.2785D-07
  4.00  5.00 -0.5138D-05  0.3592D-07
  5.00  6.00 -0.5178D-05  0.4482D-07
  6.00  7.00 -0.4987D-05  0.5302D-07
  7.00  8.00 -0.4592D-05  0.5908D-07
  8.00  9.00 -0.4292D-05  0.6515D-07
  9.00 10.00 -0.3949D-05  0.6806D-07
 10.00 12.00 -0.7165D-05  0.1053D-06
 12.00 14.00 -0.6091D-05  0.1118D-06
 14.00 16.00 -0.5383D-05  0.1152D-06
