 Lambda= 7000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1078D-02  0.2723D-05
  2.00  3.00  0.5244D-03  0.1926D-05
  3.00  4.00  0.3038D-03  0.1316D-05
  4.00  5.00  0.1950D-03  0.9411D-06
  5.00  6.00  0.1341D-03  0.6951D-06
  6.00  7.00  0.9697D-04  0.5264D-06
  7.00  8.00  0.7199D-04  0.4051D-06
  8.00  9.00  0.5498D-04  0.3198D-06
  9.00 10.00  0.4354D-04  0.2588D-06
 10.00 12.00  0.6297D-04  0.2983D-06
 12.00 14.00  0.4258D-04  0.2368D-06
 14.00 16.00  0.3007D-04  0.2052D-06
