 Lambda= 6000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4597D-02  0.5911D-06
  2.00  3.00  0.2414D-02  0.3450D-06
  3.00  4.00  0.1532D-02  0.3429D-06
  4.00  5.00  0.1079D-02  0.1916D-06
  5.00  6.00  0.8118D-03  0.1696D-06
  6.00  7.00  0.6397D-03  0.1407D-06
  7.00  8.00  0.5216D-03  0.1172D-06
  8.00  9.00  0.4365D-03  0.1049D-06
  9.00 10.00  0.3729D-03  0.9999D-07
 10.00 12.00  0.6090D-03  0.1518D-06
 12.00 14.00  0.4825D-03  0.1581D-06
 14.00 16.00  0.3964D-03  0.9356D-07
