#
#  CIJET_MassBin-4200-8000_cteq66_5000_LL+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      4.74413e-03      5.95792e-06        0.126      40
   2.0        3.0      2.35321e-03      2.82471e-06        0.120      43
   3.0        4.0      1.39577e-03      2.86055e-06        0.205      43
   4.0        5.0      9.19725e-04      1.90994e-06        0.208       8
   5.0        6.0      6.46617e-04      2.14639e-06        0.332      12
   6.0        7.0      4.79885e-04      1.19363e-06        0.249      13
   7.0        8.0      3.68446e-04      5.76795e-07        0.157      13
   8.0        9.0      2.90992e-04      9.50843e-07        0.327      13
   9.0       10.0      2.35167e-04      1.22351e-06        0.520      12
  10.0       12.0      1.78235e-04      6.63760e-07        0.372      13
  12.0       14.0      1.28265e-04      3.68208e-07        0.287      13
  14.0       16.0      9.67192e-05      5.02302e-07        0.519      13
