#
#  CIJET_MassBin-3600-4200_cteq6ll_10000_VV+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.23478e-03      1.34903e-06        0.060      40
   2.0        3.0      1.00644e-03      7.65392e-07        0.076      43
   3.0        4.0      5.00884e-04      5.16827e-07        0.103      43
   4.0        5.0      2.49658e-04      4.85159e-07        0.194      12
   5.0        6.0      1.10492e-04      4.37884e-07        0.396      12
   6.0        7.0      2.72969e-05      2.89119e-07        1.059      13
   7.0        8.0     -2.50462e-05      2.81322e-07        1.123      13
   8.0        9.0     -5.86315e-05      4.60558e-07        0.786      13
   9.0       10.0     -8.11985e-05      2.79638e-07        0.344      13
  10.0       12.0     -1.01273e-04      2.49679e-07        0.247      13
  12.0       14.0     -1.15242e-04      2.24394e-07        0.195      13
  14.0       16.0     -1.20846e-04      2.21229e-07        0.183      13
