 Lambda= 8000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.5786D-02  0.7261D-06
  2.00  3.00  0.3106D-02  0.4825D-06
  3.00  4.00  0.2022D-02  0.2696D-06
  4.00  5.00  0.1460D-02  0.2568D-06
  5.00  6.00  0.1125D-02  0.1903D-06
  6.00  7.00  0.9062D-03  0.1504D-06
  7.00  8.00  0.7542D-03  0.1751D-06
  8.00  9.00  0.6433D-03  0.1868D-06
  9.00 10.00  0.5594D-03  0.1199D-06
 10.00 12.00  0.9356D-03  0.1723D-06
 12.00 14.00  0.7631D-03  0.1367D-06
 14.00 16.00  0.6433D-03  0.1514D-06
