 Lambda= 5000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1559D-01  0.4390D-04
  2.00  3.00  0.7697D-02  0.3137D-04
  3.00  4.00  0.4537D-02  0.2221D-04
  4.00  5.00  0.2973D-02  0.1666D-04
  5.00  6.00  0.2072D-02  0.1294D-04
  6.00  7.00  0.1523D-02  0.1010D-04
  7.00  8.00  0.1150D-02  0.8167D-05
  8.00  9.00  0.8958D-03  0.6681D-05
  9.00 10.00  0.7164D-03  0.5538D-05
 10.00 12.00  0.1068D-02  0.6252D-05
 12.00 14.00  0.7431D-03  0.4514D-05
 14.00 16.00  0.5393D-03  0.3486D-05
