 Lambda=15000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.1989D-05  0.5088D-08
  2.00  3.00 -0.1047D-04  0.2986D-08
  3.00  4.00 -0.1380D-04  0.3069D-08
  4.00  5.00 -0.1478D-04  0.2827D-08
  5.00  6.00 -0.1482D-04  0.3553D-08
  6.00  7.00 -0.1446D-04  0.3292D-08
  7.00  8.00 -0.1396D-04  0.3997D-08
  8.00  9.00 -0.1340D-04  0.3483D-08
  9.00 10.00 -0.1284D-04  0.3264D-08
 10.00 12.00 -0.2411D-04  0.4699D-08
 12.00 14.00 -0.2221D-04  0.7316D-08
 14.00 16.00 -0.2058D-04  0.5596D-08
