 Lambda= 8000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.6644D-02  0.8112D-06
  2.00  3.00  0.2763D-02  0.6051D-06
  3.00  4.00  0.1204D-02  0.2152D-06
  4.00  5.00  0.4603D-03  0.1337D-06
  5.00  6.00  0.6541D-04  0.1127D-06
  6.00  7.00 -0.1595D-03  0.8949D-07
  7.00  8.00 -0.2932D-03  0.9820D-07
  8.00  9.00 -0.3745D-03  0.8480D-07
  9.00 10.00 -0.4242D-03  0.9827D-07
 10.00 12.00 -0.9256D-03  0.2587D-06
 12.00 14.00 -0.9631D-03  0.2486D-06
 14.00 16.00 -0.9621D-03  0.1612D-06
