 Lambda=12000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4083D-03  0.5467D-07
  2.00  3.00  0.2239D-03  0.3248D-07
  3.00  4.00  0.1493D-03  0.3216D-07
  4.00  5.00  0.1103D-03  0.2172D-07
  5.00  6.00  0.8670D-04  0.1687D-07
  6.00  7.00  0.7114D-04  0.1358D-07
  7.00  8.00  0.6019D-04  0.1285D-07
  8.00  9.00  0.5211D-04  0.9657D-08
  9.00 10.00  0.4588D-04  0.1014D-07
 10.00 12.00  0.7817D-04  0.1568D-07
 12.00 14.00  0.6508D-04  0.2009D-07
 14.00 16.00  0.5583D-04  0.1448D-07
