 Lambda=15000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.6422D-03  0.1245D-05
  2.00  3.00 -0.4051D-03  0.1415D-05
  3.00  4.00 -0.3038D-03  0.1518D-05
  4.00  5.00 -0.2442D-03  0.1589D-05
  5.00  6.00 -0.2021D-03  0.1664D-05
  6.00  7.00 -0.1747D-03  0.1737D-05
  7.00  8.00 -0.1481D-03  0.1809D-05
  8.00  9.00 -0.1346D-03  0.1806D-05
  9.00 10.00 -0.1193D-03  0.1841D-05
 10.00 12.00 -0.2027D-03  0.2711D-05
 12.00 14.00 -0.1731D-03  0.2739D-05
 14.00 16.00 -0.1466D-03  0.2787D-05
