#
#  CIJET_MassBin-3600-4200_CT10nlo_18000_VV-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  18000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.96362e-04      4.58362e-07        0.066      40
   2.0        3.0      3.76179e-04      5.03113e-07        0.134      43
   3.0        4.0      2.43998e-04      4.99280e-07        0.205      43
   4.0        5.0      1.74000e-04      1.75810e-07        0.101      12
   5.0        6.0      1.31442e-04      1.97523e-07        0.150      12
   6.0        7.0      1.03408e-04      2.92864e-07        0.283      13
   7.0        8.0      8.37415e-05      3.62442e-07        0.433      13
   8.0        9.0      6.92169e-05      2.21073e-07        0.319      13
   9.0       10.0      5.81715e-05      3.74607e-07        0.644      13
  10.0       12.0      4.63315e-05      2.16337e-07        0.467      13
  12.0       14.0      3.47538e-05      2.31941e-07        0.667      13
  14.0       16.0      2.72450e-05      1.44294e-07        0.530      13
