#
#  CIJET_MassBin-3000-3600_cteq66_13000_AA-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.91900e-03      4.11501e-06        0.059      16
   2.0        3.0      3.72581e-03      4.38712e-06        0.118      36
   3.0        4.0      2.40684e-03      3.74121e-06        0.155      43
   4.0        5.0      1.70875e-03      3.16587e-06        0.185      12
   5.0        6.0      1.28385e-03      2.07550e-06        0.162      13
   6.0        7.0      1.00471e-03      4.03969e-06        0.402      13
   7.0        8.0      8.08346e-04      3.29990e-06        0.408      13
   8.0        9.0      6.66469e-04      3.11378e-06        0.467      13
   9.0       10.0      5.60946e-04      2.29224e-06        0.409      13
  10.0       12.0      4.41369e-04      1.72935e-06        0.392      13
  12.0       14.0      3.32135e-04      1.61056e-06        0.485      13
  14.0       16.0      2.58354e-04      1.90946e-06        0.739      13
