 Lambda=14000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.8219D-03  0.8615D-07
  2.00  3.00 -0.6271D-03  0.1098D-06
  3.00  4.00 -0.5461D-03  0.1055D-06
  4.00  5.00 -0.4888D-03  0.7288D-07
  5.00  6.00 -0.4434D-03  0.1107D-06
  6.00  7.00 -0.4062D-03  0.8913D-07
  7.00  8.00 -0.3750D-03  0.8544D-07
  8.00  9.00 -0.3485D-03  0.5947D-07
  9.00 10.00 -0.3257D-03  0.6023D-07
 10.00 12.00 -0.5946D-03  0.1448D-06
 12.00 14.00 -0.5329D-03  0.1126D-06
 14.00 16.00 -0.4837D-03  0.8095D-07
