 Lambda= 8000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.8879D-03  0.1259D-06
  2.00  3.00  0.4215D-03  0.7683D-07
  3.00  4.00  0.2336D-03  0.3880D-07
  4.00  5.00  0.1405D-03  0.2172D-07
  5.00  6.00  0.8828D-04  0.2144D-07
  6.00  7.00  0.5638D-04  0.1595D-07
  7.00  8.00  0.3571D-04  0.8020D-08
  8.00  9.00  0.2174D-04  0.7686D-08
  9.00 10.00  0.1196D-04  0.5327D-08
 10.00 12.00  0.4702D-05  0.7414D-08
 12.00 14.00 -0.1104D-04  0.6321D-08
 14.00 16.00 -0.2007D-04  0.4993D-08
