 Lambda= 9000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1347D-02  0.1482D-06
  2.00  3.00  0.5732D-03  0.1051D-06
  3.00  4.00  0.2623D-03  0.6283D-07
  4.00  5.00  0.1132D-03  0.2522D-07
  5.00  6.00  0.3320D-04  0.1836D-07
  6.00  7.00 -0.1292D-04  0.1436D-07
  7.00  8.00 -0.4080D-04  0.1263D-07
  8.00  9.00 -0.5813D-04  0.1383D-07
  9.00 10.00 -0.6910D-04  0.2146D-07
 10.00 12.00 -0.1563D-03  0.3291D-07
 12.00 14.00 -0.1669D-03  0.5341D-07
 14.00 16.00 -0.1691D-03  0.3068D-07
