 Lambda= 8000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2583D-02  0.2690D-06
  2.00  3.00  0.1175D-02  0.2384D-06
  3.00  4.00  0.6080D-03  0.1384D-06
  4.00  5.00  0.3312D-03  0.5647D-07
  5.00  6.00  0.1788D-03  0.3849D-07
  6.00  7.00  0.8798D-04  0.2526D-07
  7.00  8.00  0.3072D-04  0.1744D-07
  8.00  9.00 -0.6815D-05  0.1676D-07
  9.00 10.00 -0.3213D-04  0.1272D-07
 10.00 12.00 -0.1114D-03  0.2496D-07
 12.00 14.00 -0.1465D-03  0.2899D-07
 14.00 16.00 -0.1637D-03  0.3515D-07
