 Lambda= 7000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3229D-01  0.3475D-05
  2.00  3.00  0.1734D-01  0.2495D-05
  3.00  4.00  0.1129D-01  0.2242D-05
  4.00  5.00  0.8152D-02  0.1612D-05
  5.00  6.00  0.6280D-02  0.9519D-06
  6.00  7.00  0.5058D-02  0.8441D-06
  7.00  8.00  0.4208D-02  0.9190D-06
  8.00  9.00  0.3588D-02  0.7932D-06
  9.00 10.00  0.3118D-02  0.5798D-06
 10.00 12.00  0.5213D-02  0.1253D-05
 12.00 14.00  0.4248D-02  0.7415D-06
 14.00 16.00  0.3579D-02  0.5744D-06
