#
#  CIJET_MassBin-4200-8000_CT10nlo_15000_AA+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.07740e-05      1.47488e-07        0.479      40
   2.0        3.0      1.23391e-05      1.32068e-07        1.070      43
   3.0        4.0      4.96465e-06      1.21002e-07        2.437      43
   4.0        5.0      1.64950e-06      5.57007e-08        3.377       8
   5.0        6.0      1.34225e-08      1.18158e-07      880.297      12
   6.0        7.0     -7.22069e-07      9.09526e-08       12.596      13
   7.0        8.0     -1.10370e-06      5.64623e-08        5.116      13
   8.0        9.0     -1.21869e-06      7.68336e-08        6.305      13
   9.0       10.0     -1.23591e-06      1.47394e-07       11.926      12
  10.0       12.0     -1.12154e-06      5.50528e-08        4.909      13
  12.0       14.0     -8.75308e-07      5.11748e-08        5.846      13
  14.0       16.0     -6.25808e-07      5.53487e-08        8.844      13
