 Lambda=10000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1868D-02  0.4737D-05
  2.00  3.00  0.9848D-03  0.3640D-05
  3.00  4.00  0.6266D-03  0.2951D-05
  4.00  5.00  0.4396D-03  0.2531D-05
  5.00  6.00  0.3301D-03  0.2255D-05
  6.00  7.00  0.2576D-03  0.2030D-05
  7.00  8.00  0.2073D-03  0.1900D-05
  8.00  9.00  0.1715D-03  0.1806D-05
  9.00 10.00  0.1457D-03  0.1717D-05
 10.00 12.00  0.2356D-03  0.2316D-05
 12.00 14.00  0.1815D-03  0.2193D-05
 14.00 16.00  0.1468D-03  0.2066D-05
