#
#  CIJET_MassBin-3000-3600_CT10nlo_10000_LL-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.76131e-03      4.92231e-06        0.073      16
   2.0        3.0      3.56322e-03      4.36290e-06        0.122      36
   3.0        4.0      2.26044e-03      3.34737e-06        0.148      43
   4.0        5.0      1.58542e-03      3.11764e-06        0.197      12
   5.0        6.0      1.18192e-03      2.01914e-06        0.171      13
   6.0        7.0      9.19877e-04      3.40494e-06        0.370      13
   7.0        8.0      7.38215e-04      2.82396e-06        0.383      13
   8.0        9.0      6.07615e-04      2.46470e-06        0.406      13
   9.0       10.0      5.10962e-04      1.90024e-06        0.372      13
  10.0       12.0      4.03008e-04      1.57094e-06        0.390      13
  12.0       14.0      3.04350e-04      1.41848e-06        0.466      13
  14.0       16.0      2.38012e-04      1.61802e-06        0.680      13
