 Lambda= 6000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1607D-01  0.1946D-05
  2.00  3.00  0.8480D-02  0.1486D-05
  3.00  4.00  0.5413D-02  0.6947D-06
  4.00  5.00  0.3834D-02  0.7616D-06
  5.00  6.00  0.2901D-02  0.5103D-06
  6.00  7.00  0.2298D-02  0.4025D-06
  7.00  8.00  0.1883D-02  0.4450D-06
  8.00  9.00  0.1584D-02  0.3430D-06
  9.00 10.00  0.1359D-02  0.3327D-06
 10.00 12.00  0.2233D-02  0.4252D-06
 12.00 14.00  0.1783D-02  0.3387D-06
 14.00 16.00  0.1475D-02  0.2894D-06
