#
#  CIJET_MassBin-3600-4200_cteq6ll_16000_VV-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  16000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.45482e-03      4.46496e-07        0.031      40
   2.0        3.0      8.24826e-04      2.79534e-07        0.034      43
   3.0        4.0      5.68009e-04      2.22340e-07        0.039      43
   4.0        5.0      4.30475e-04      1.05529e-07        0.025      12
   5.0        6.0      3.45633e-04      1.30268e-07        0.038      12
   6.0        7.0      2.88492e-04      1.25576e-07        0.044      13
   7.0        8.0      2.47623e-04      1.09193e-07        0.044      13
   8.0        9.0      2.16869e-04      2.32324e-07        0.107      13
   9.0       10.0      1.93138e-04      1.32530e-07        0.069      13
  10.0       12.0      1.66454e-04      8.02640e-08        0.048      13
  12.0       14.0      1.40469e-04      8.54850e-08        0.061      13
  14.0       16.0      1.21808e-04      6.72252e-08        0.055      13
