 Lambda= 9000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.8418D-03  0.2800D-05
  2.00  3.00  0.3740D-03  0.1786D-05
  3.00  4.00  0.1904D-03  0.1040D-05
  4.00  5.00  0.1026D-03  0.6417D-06
  5.00  6.00  0.5637D-04  0.4438D-06
  6.00  7.00  0.2982D-04  0.3581D-06
  7.00  8.00  0.1378D-04  0.3548D-06
  8.00  9.00  0.4187D-05  0.4133D-06
  9.00 10.00 -0.2806D-05  0.4790D-06
 10.00 12.00 -0.1607D-04  0.8205D-06
 12.00 14.00 -0.2392D-04  0.9753D-06
 14.00 16.00 -0.2554D-04  0.1077D-05
