 Lambda= 6000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2171D-02  0.5457D-05
  2.00  3.00  0.1069D-02  0.3860D-05
  3.00  4.00  0.6271D-03  0.2723D-05
  4.00  5.00  0.4091D-03  0.1981D-05
  5.00  6.00  0.2848D-03  0.1566D-05
  6.00  7.00  0.2095D-03  0.1190D-05
  7.00  8.00  0.1585D-03  0.9571D-06
  8.00  9.00  0.1240D-03  0.7843D-06
  9.00 10.00  0.9793D-04  0.6297D-06
 10.00 12.00  0.1469D-03  0.7035D-06
 12.00 14.00  0.1031D-03  0.5138D-06
 14.00 16.00  0.7539D-04  0.4119D-06
