 Lambda=15000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1369D-03  0.2980D-06
  2.00  3.00  0.7296D-04  0.2337D-06
  3.00  4.00  0.4689D-04  0.1938D-06
  4.00  5.00  0.3324D-04  0.1684D-06
  5.00  6.00  0.2520D-04  0.1549D-06
  6.00  7.00  0.1991D-04  0.1427D-06
  7.00  8.00  0.1613D-04  0.1356D-06
  8.00  9.00  0.1340D-04  0.1276D-06
  9.00 10.00  0.1145D-04  0.1231D-06
 10.00 12.00  0.1846D-04  0.1718D-06
 12.00 14.00  0.1429D-04  0.1632D-06
 14.00 16.00  0.1137D-04  0.1595D-06
