 Lambda= 5000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1070D+00  0.1017D-04
  2.00  3.00  0.5631D-01  0.9079D-05
  3.00  4.00  0.3584D-01  0.5922D-05
  4.00  5.00  0.2531D-01  0.5150D-05
  5.00  6.00  0.1909D-01  0.3693D-05
  6.00  7.00  0.1508D-01  0.2818D-05
  7.00  8.00  0.1232D-01  0.2327D-05
  8.00  9.00  0.1033D-01  0.2525D-05
  9.00 10.00  0.8840D-02  0.2704D-05
 10.00 12.00  0.1448D-01  0.2979D-05
 12.00 14.00  0.1151D-01  0.2479D-05
 14.00 16.00  0.9486D-02  0.2175D-05
