 Lambda= 5000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4916D-01  0.1494D-03
  2.00  3.00  0.2411D-01  0.1053D-03
  3.00  4.00  0.1405D-01  0.7382D-04
  4.00  5.00  0.9090D-02  0.5448D-04
  5.00  6.00  0.6228D-02  0.4045D-04
  6.00  7.00  0.4502D-02  0.3094D-04
  7.00  8.00  0.3374D-02  0.2471D-04
  8.00  9.00  0.2587D-02  0.1942D-04
  9.00 10.00  0.2020D-02  0.1573D-04
 10.00 12.00  0.2927D-02  0.1769D-04
 12.00 14.00  0.1927D-02  0.1370D-04
 14.00 16.00  0.1345D-02  0.1144D-04
