 Lambda=11000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.1730D-04  0.1656D-05
  2.00  3.00 -0.1593D-03  0.1161D-05
  3.00  4.00 -0.2071D-03  0.1283D-05
  4.00  5.00 -0.2140D-03  0.1701D-05
  5.00  6.00 -0.2090D-03  0.2035D-05
  6.00  7.00 -0.1956D-03  0.2301D-05
  7.00  8.00 -0.1758D-03  0.2496D-05
  8.00  9.00 -0.1706D-03  0.2651D-05
  9.00 10.00 -0.1556D-03  0.2810D-05
 10.00 12.00 -0.2797D-03  0.4322D-05
 12.00 14.00 -0.2456D-03  0.4458D-05
 14.00 16.00 -0.2133D-03  0.4672D-05
