 Lambda=13000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1207D-02  0.1647D-06
  2.00  3.00  0.6725D-03  0.9246D-07
  3.00  4.00  0.4563D-03  0.9413D-07
  4.00  5.00  0.3422D-03  0.5642D-07
  5.00  6.00  0.2726D-03  0.3940D-07
  6.00  7.00  0.2262D-03  0.2874D-07
  7.00  8.00  0.1933D-03  0.4842D-07
  8.00  9.00  0.1687D-03  0.4202D-07
  9.00 10.00  0.1498D-03  0.2529D-07
 10.00 12.00  0.2573D-03  0.4007D-07
 12.00 14.00  0.2164D-03  0.4367D-07
 14.00 16.00  0.1872D-03  0.3610D-07
