 Lambda= 7000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.9231D-02  0.1032D-05
  2.00  3.00  0.4912D-02  0.7604D-06
  3.00  4.00  0.3167D-02  0.3698D-06
  4.00  5.00  0.2265D-02  0.3871D-06
  5.00  6.00  0.1730D-02  0.2906D-06
  6.00  7.00  0.1382D-02  0.2372D-06
  7.00  8.00  0.1142D-02  0.3097D-06
  8.00  9.00  0.9673D-03  0.1889D-06
  9.00 10.00  0.8359D-03  0.1941D-06
 10.00 12.00  0.1387D-02  0.2490D-06
 12.00 14.00  0.1120D-02  0.2074D-06
 14.00 16.00  0.9361D-03  0.1854D-06
