 Lambda= 8000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3950D-02  0.1016D-04
  2.00  3.00  0.2057D-02  0.7720D-05
  3.00  4.00  0.1294D-02  0.6058D-05
  4.00  5.00  0.8992D-03  0.5102D-05
  5.00  6.00  0.6715D-03  0.4405D-05
  6.00  7.00  0.5190D-03  0.4030D-05
  7.00  8.00  0.4130D-03  0.3667D-05
  8.00  9.00  0.3446D-03  0.3469D-05
  9.00 10.00  0.2878D-03  0.3280D-05
 10.00 12.00  0.4629D-03  0.4379D-05
 12.00 14.00  0.3537D-03  0.4035D-05
 14.00 16.00  0.2793D-03  0.3756D-05
