 Lambda= 5000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.6163D-02  0.1442D-04
  2.00  3.00  0.3146D-02  0.1084D-04
  3.00  4.00  0.1931D-02  0.8117D-05
  4.00  5.00  0.1307D-02  0.6449D-05
  5.00  6.00  0.9532D-03  0.5426D-05
  6.00  7.00  0.7281D-03  0.4702D-05
  7.00  8.00  0.5722D-03  0.4261D-05
  8.00  9.00  0.4630D-03  0.3820D-05
  9.00 10.00  0.3861D-03  0.3417D-05
 10.00 12.00  0.5985D-03  0.4416D-05
 12.00 14.00  0.4476D-03  0.3855D-05
 14.00 16.00  0.3443D-03  0.3514D-05
