#
#  CIJET_MassBin-4200-8000_cteq6ll_5000_VV-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.20072e-02      9.33356e-06        0.042      40
   2.0        3.0      1.16772e-02      5.03586e-06        0.043      43
   3.0        4.0      7.45528e-03      3.88725e-06        0.052      43
   4.0        5.0      5.25262e-03      1.30247e-06        0.025       8
   5.0        6.0      3.93925e-03      3.67114e-06        0.093      12
   6.0        7.0      3.09000e-03      1.29099e-06        0.042      13
   7.0        8.0      2.50362e-03      1.19293e-06        0.048      13
   8.0        9.0      2.07962e-03      1.19293e-06        0.057      13
   9.0       10.0      1.76267e-03      1.07309e-06        0.061      12
  10.0       12.0      1.42296e-03      1.05003e-06        0.074      13
  12.0       14.0      1.10892e-03      5.71772e-07        0.052      13
  14.0       16.0      8.96731e-04      5.25015e-07        0.059      13
