 Lambda= 8000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1613D-02  0.2170D-06
  2.00  3.00  0.8595D-03  0.1226D-06
  3.00  4.00  0.5550D-03  0.1209D-06
  4.00  5.00  0.3975D-03  0.5968D-07
  5.00  6.00  0.3040D-03  0.7247D-07
  6.00  7.00  0.2433D-03  0.4528D-07
  7.00  8.00  0.2013D-03  0.4362D-07
  8.00  9.00  0.1706D-03  0.3059D-07
  9.00 10.00  0.1477D-03  0.4544D-07
 10.00 12.00  0.2453D-03  0.5804D-07
 12.00 14.00  0.1985D-03  0.5195D-07
 14.00 16.00  0.1662D-03  0.3711D-07
