 Lambda=10000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2739D-02  0.3175D-06
  2.00  3.00  0.1494D-02  0.2343D-06
  3.00  4.00  0.9912D-03  0.1685D-06
  4.00  5.00  0.7280D-03  0.1114D-06
  5.00  6.00  0.5698D-03  0.7763D-07
  6.00  7.00  0.4655D-03  0.6154D-07
  7.00  8.00  0.3923D-03  0.6090D-07
  8.00  9.00  0.3384D-03  0.5619D-07
  9.00 10.00  0.2972D-03  0.4966D-07
 10.00 12.00  0.5038D-03  0.7697D-07
 12.00 14.00  0.4173D-03  0.9281D-07
 14.00 16.00  0.3564D-03  0.6786D-07
