#
#  CIJET_MassBin-3600-4200_CT10nlo_9000_VV-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.17405e-03      3.97395e-06        0.064      40
   2.0        3.0      3.28044e-03      3.21679e-06        0.098      43
   3.0        4.0      2.08819e-03      3.42439e-06        0.164      43
   4.0        5.0      1.46275e-03      9.65307e-07        0.066      12
   5.0        6.0      1.08858e-03      1.16450e-06        0.107      12
   6.0        7.0      8.44508e-04      1.52395e-06        0.180      13
   7.0        8.0      6.76154e-04      1.71154e-06        0.253      13
   8.0        9.0      5.53808e-04      1.12432e-06        0.203      13
   9.0       10.0      4.62200e-04      1.66933e-06        0.361      13
  10.0       12.0      3.64792e-04      9.86333e-07        0.270      13
  12.0       14.0      2.72623e-04      1.02360e-06        0.375      13
  14.0       16.0      2.12808e-04      5.86247e-07        0.275      13
