 Lambda= 7000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.9461D-02  0.3132D-04
  2.00  3.00  0.4423D-02  0.2102D-04
  3.00  4.00  0.2390D-02  0.1320D-04
  4.00  5.00  0.1420D-02  0.8434D-05
  5.00  6.00  0.8730D-03  0.5758D-05
  6.00  7.00  0.5687D-03  0.4291D-05
  7.00  8.00  0.3662D-03  0.3504D-05
  8.00  9.00  0.2316D-03  0.3095D-05
  9.00 10.00  0.1459D-03  0.3061D-05
 10.00 12.00  0.1266D-03  0.5012D-05
 12.00 14.00 -0.1046D-04  0.6163D-05
 14.00 16.00 -0.7180D-04  0.7302D-05
